#{"t_start": 1775690545.4971535, "env_id": "None"}
r,l,t
-44.073,150,0.126545
-37.763,25,0.144545
-18.17,150,0.252352
-24.071,150,0.356392
-41.848,42,0.394698
2.42,7,0.401698
-34.423,27,0.423084
-28.938,150,0.529083
-29.148,150,0.638338
-29.761,29,0.663499
-28.54,150,0.774796
-22.322,150,0.88545
-18.277,150,1.003853
-26.639,10,1.012851
-16.621,150,1.125848
-16.68,150,1.243197
-16.664,150,1.361066
-26.058,150,1.469033
-19.968,150,1.571706
-17.485,150,1.685842
-16.764,150,1.80879
-27.472,150,1.928228
-37.348,150,2.050532
-17.114,150,2.169389
-42.134,150,2.293486
-27.486,150,2.430295
-38.341,41,2.471266
-21.519,150,2.597836
-20.108,150,2.717781
-41.431,29,2.740778
-4.798,49,2.776781
-34.291,30,2.80278
-147.774,150,2.90678
-22.91,150,3.026237
-14.25,143,3.146323
-20.4,150,3.262492
-23.896,150,3.369426
-20.883,150,3.477801
-15.119,150,3.589104
-23.613,150,3.697699
-30.047,150,3.811174
-27.788,150,3.920617
-25.908,150,4.026061
-35.621,150,4.13507
-2.153,40,4.167287
-35.787,42,4.198698
-4.121,59,4.253032
-32.008,35,4.277031
-133.953,150,4.384543
-32.564,150,4.498899
-15.635,150,4.618314
-50.11,34,4.649594
-18.502,150,4.759295
-4.812,60,4.802717
-21.153,150,4.914467
-31.63,150,5.02784
-51.016,40,5.063172
-35.726,150,5.163174
-23.782,150,5.282283
-27.11,150,5.394804
-35.344,150,5.50283
-22.734,150,5.608831
-20.08,150,5.755008
-35.815,150,5.866001
-14.833,150,5.966464
-14.747,150,6.080144
-32.084,22,6.096751
-39.967,36,6.122751
-22.562,150,6.224944
-18.942,150,6.333212
-27.949,150,6.450784
-23.436,150,6.562892
-14.059,150,6.671885
-9.219,119,6.761191
-20.81,150,6.867383
-15.113,150,6.973271
-17.79,150,7.081338
-24.396,150,7.194496
-24.176,150,7.331172
-0.393,33,7.358426
-18.096,150,7.472017
-12.62,150,7.582346
-12.82,150,7.700629
-7.489,103,7.779
-31.563,26,7.801998
-13.134,150,7.920924
-2.292,38,7.947924
-26.231,150,8.058139
-28.142,27,8.078139
-16.14,150,8.183481
-1.66,45,8.223832
-28.203,35,8.255149
-11.535,150,8.369691
-39.154,150,8.473476
-15.334,150,8.590911
-35.147,48,8.627235
