#{"t_start": 1775688900.2600634, "env_id": "None"}
r,l,t
-137.699,150,0.105175
-17.7,150,0.153897
-22.255,150,0.189277
-15.961,94,0.212244
1.475,8,0.217247
-16.583,150,0.251976
-15.879,150,0.282547
-18.067,150,0.317333
-24.436,150,0.365738
-22.952,150,0.400459
-21.466,150,0.430917
-28.689,33,0.439917
-3.323,79,0.462836
-15.874,150,0.496488
-26.512,150,0.529854
-20.72,150,0.558091
-18.0,150,0.610701
-35.302,150,0.648938
-33.967,150,0.684975
-21.514,150,0.728677
0.441,24,0.738503
-24.172,150,0.778503
-27.908,150,0.810816
-15.269,150,0.842409
-33.82,150,0.879616
-24.397,150,0.912152
-36.388,150,0.947506
-26.068,150,0.973005
-15.039,150,1.010042
-32.934,150,1.03978
-26.204,150,1.078197
-35.86,29,1.085633
-27.408,21,1.093633
-21.457,150,1.125083
-30.393,150,1.158138
-17.776,150,1.189151
-18.77,150,1.223163
-18.806,150,1.256343
-6.973,104,1.284489
-25.993,150,1.316139
-14.986,150,1.351355
-22.927,150,1.380496
-20.555,150,1.412558
-21.409,150,1.444558
-26.398,150,1.478247
-29.656,150,1.519714
-34.782,150,1.549719
-18.157,150,1.583154
-5.53,89,1.608087
-29.032,150,1.637088
-29.418,23,1.644089
-24.991,150,1.674087
-18.534,150,1.705087
-18.85,150,1.736087
-14.252,150,1.771088
-15.79,150,1.800088
-20.121,150,1.834439
-25.694,150,1.863336
-20.075,150,1.896659
-27.097,150,1.928659
-9.718,105,1.956358
-23.836,150,1.986287
-29.767,150,2.017752
-31.998,150,2.044882
-38.437,57,2.061883
-33.05,150,2.091328
-30.768,16,2.096486
-18.089,150,2.123446
-17.191,150,2.15974
-58.074,94,2.179296
-30.237,150,2.211346
-9.073,89,2.230355
-17.173,150,2.264655
-22.889,150,2.296771
-21.357,150,2.330295
-20.48,150,2.383565
-5.711,113,2.480191
-6.078,82,2.549191
-81.364,49,2.584192
-37.429,150,2.699192
-13.897,150,2.826194
-15.312,150,2.94577
-8.103,134,3.046767
-19.526,150,3.148837
-23.113,150,3.248353
-14.627,150,3.348923
-27.883,150,3.446296
-22.644,150,3.560386
-18.99,150,3.672412
-9.358,132,3.764349
-27.033,150,3.860101
-21.595,150,3.957183
-30.661,150,4.076927
-26.499,150,4.204217
-21.661,150,4.308072
-37.233,150,4.420944
-16.154,150,4.586913
-19.747,150,4.730201
-20.73,150,4.848201
-3.028,49,4.888201
-19.756,150,5.023201
-3.306,58,5.0732
-17.155,150,5.1932
-19.245,150,5.316368
-12.961,150,5.458498
-37.704,35,5.490055
-17.927,150,5.595114
-15.766,150,5.69473
-18.189,150,5.805124
-24.42,150,5.91455
-165.501,150,6.010936
-28.526,150,6.11772
-24.092,150,6.227142
-29.713,23,6.245771
2.225,8,6.250771
-16.737,150,6.353503
2.627,7,6.3623
-18.329,150,6.468439
2.099,5,6.472437
-13.446,150,6.584649
0.071,45,6.623646
-13.484,150,6.736626
-31.791,150,6.852382
-21.888,150,6.974357
-18.215,150,7.087047
-33.977,30,7.117428
-33.127,50,7.164104
-39.521,150,7.274933
-26.529,12,7.289392
-1.759,37,7.323014
-17.507,150,7.475864
-50.68,39,7.520278
-28.155,150,7.663206
-31.766,150,7.781731
-18.483,150,7.884683
-15.525,150,7.98776
-13.606,150,8.108597
-15.69,150,8.233338
-17.004,150,8.359324
-20.696,139,8.461885
-17.359,150,8.587611
-32.601,150,8.694111
-33.418,32,8.71973
-36.394,23,8.741194
-34.532,150,8.843803
-26.715,150,8.953818
-21.031,150,9.059924
-25.35,150,9.165672
-27.398,150,9.286894
-12.388,150,9.386934
-21.805,150,9.502179
-21.16,150,9.602222
-22.825,150,9.707729
-32.512,150,9.817261
-50.514,45,9.847462
-93.363,150,9.949502
-32.996,29,9.976835
-17.011,150,10.402194
-21.461,150,10.5154
-40.335,57,10.556423
-13.808,150,10.665862
-13.913,150,10.766856
-31.815,150,10.875427
-20.228,150,10.971456
-33.225,28,11.000514
-27.461,150,11.114399
-35.516,150,11.217628
-14.148,150,11.329962
-22.704,150,11.441369
-23.751,150,11.553266
2.148,4,11.557266
-15.091,150,11.666235
-0.104,31,11.693394
-28.041,13,11.702585
-29.004,150,11.801209
-9.132,150,11.905371
-3.214,63,11.957614
-40.451,43,11.995185
-13.045,150,12.091182
-5.812,75,12.150185
-13.48,150,12.261883
-32.516,150,12.371351
2.368,4,12.375352
-16.966,150,12.490559
-37.076,150,12.605733
-5.307,81,12.662363
2.755,3,12.664363
-23.159,150,12.775724
-17.199,150,12.886444
-22.285,150,12.991444
-23.885,150,13.098232
-10.24,150,13.211705
-19.243,150,13.322782
-0.054,35,13.350247
-15.245,150,13.455563
-11.212,150,13.565007
-44.43,36,13.596608
-34.997,18,13.610114
-23.422,150,13.728418
-19.822,150,13.825415
-20.772,150,13.932716
-25.838,150,14.044785
2.618,5,14.049784
0.502,30,14.074784
-27.778,150,14.190064
-26.361,150,14.289844
-18.023,150,14.394845
2.753,4,14.399308
-30.723,150,14.563325
-16.908,150,14.667051
-15.637,150,14.780975
-1.758,46,14.8232
-16.722,150,14.934691
-13.87,150,15.041489
1.96,8,15.049489
-13.885,150,15.159765
-25.45,150,15.284246
2.675,3,15.285246
1.97,8,15.290246
2.24,3,15.294247
-3.833,72,15.360735
-12.563,150,15.479958
2.166,7,15.483958
-19.323,150,15.586222
-30.447,35,15.620879
-9.275,150,15.729702
2.601,5,15.732701
-27.79,16,15.745857
-3.106,45,15.791299
-35.26,150,15.891421
-3.988,78,15.957814
1.96,8,15.965814
-16.322,150,16.081561
-2.014,42,16.113561
-12.037,150,16.232165
-28.458,30,16.259399
-26.042,150,16.377648
-19.615,150,16.508546
-1.801,86,16.58477
-19.62,150,16.706235
-14.266,133,16.869639
-36.171,150,17.004133
-19.19,150,17.110669
-35.588,150,17.217299
-29.832,23,17.239624
1.852,4,17.243878
-13.487,150,17.34788
-7.632,97,17.41847
-24.713,150,17.573584
-0.963,37,17.612913
-22.737,150,17.735421
-27.004,150,17.855605
-7.39,104,17.943655
-7.191,127,18.053861
-5.493,142,18.187194
-23.915,150,18.288194
-36.603,150,18.407854
-30.303,70,18.468086
2.334,5,18.474087
-13.273,150,18.588192
-31.123,34,18.622682
-16.456,150,18.727681
-16.22,150,18.833777
2.056,5,18.837777
-35.667,24,18.863151
-12.778,150,18.981563
-2.554,89,19.054898
-9.929,118,19.132408
-18.297,150,19.245394
-31.252,150,19.343687
-32.679,53,19.384878
-32.713,150,19.488066
-16.869,150,19.600669
2.376,5,19.605669
-26.344,150,19.706986
-26.53,150,19.820367
-27.686,18,19.835866
2.466,5,19.838865
-20.861,150,19.94233
-66.113,92,20.020194
-10.384,150,20.141979
-30.973,48,20.187445
2.624,6,20.193445
-21.843,150,20.297654
-19.342,150,20.421541
-31.419,42,20.457968
-17.053,150,20.565646
-26.943,150,20.666347
-0.028,48,20.711176
-16.009,150,20.828245
-12.872,150,20.947707
-15.606,150,21.054399
-18.561,150,21.172657
-22.767,150,21.281533
-30.953,150,21.39381
-1.989,78,21.454857
-34.731,59,21.511887
-4.939,96,21.585513
2.789,6,21.589512
-10.087,150,21.697927
-24.824,15,21.712025
-28.713,150,21.835387
-12.339,150,21.943251
2.145,3,21.946254
2.264,8,21.958254
-20.96,150,22.074702
-23.174,150,22.19277
-34.736,39,22.22777
-17.056,150,22.34758
-26.766,19,22.36258
-10.95,54,22.407806
-33.999,150,22.524402
2.203,8,22.533714
-16.553,150,22.648082
-16.554,150,22.762112
-1.974,54,22.802109
-17.435,150,22.918649
-30.417,36,22.950647
-26.431,22,22.968803
-31.758,22,22.988009
2.21,8,22.999014
-14.227,150,23.117605
-4.124,98,23.198011
-1.531,60,23.253463
-14.773,150,23.36375
-28.899,150,23.471174
2.688,4,23.476174
-19.943,150,23.590977
-120.987,150,23.700234
-23.912,150,23.806746
-30.257,150,23.908746
-33.913,150,24.020102
2.768,4,24.027101
-26.785,150,24.125228
-50.795,60,24.173119
-14.738,150,24.291197
-12.975,150,24.411819
-13.284,150,24.526759
-21.14,150,24.626978
-14.814,150,24.743209
-3.656,69,24.79975
-11.552,150,24.907661
-9.995,150,25.018661
2.56,3,25.021661
-8.435,150,25.13805
-26.127,150,25.245784
-15.073,150,25.361058
-48.74,90,25.429761
-14.12,150,25.552256
-22.023,150,25.658272
-5.278,119,26.020453
-29.622,150,26.125785
-16.147,150,26.244612
-26.961,56,26.290665
-8.868,150,26.397662
-28.109,31,26.421896
-35.524,150,26.550071
-29.357,40,26.579355
-17.338,150,26.69152
-11.304,150,26.816357
-12.734,150,26.939742
-31.776,150,27.049546
-16.232,150,27.17098
-0.147,44,27.212215
-27.648,150,27.318735
-9.707,150,27.428738
-15.819,150,27.538092
-17.563,150,27.665059
-41.548,65,27.741416
-13.388,150,27.872717
-28.79,27,27.900657
-12.915,150,28.067765
-16.2,150,28.211763
-12.57,150,28.320873
-23.128,150,28.429202
-11.592,150,28.556033
-27.254,150,28.689008
-25.804,150,28.805715
-1.748,92,28.881941
-26.98,150,28.986592
-16.768,150,29.106104
-20.423,150,29.228583
2.699,6,29.235583
2.687,4,29.239583
-19.96,150,29.351596
-17.339,150,29.471928
-31.456,46,29.508138
-20.548,150,29.628414
-3.815,53,29.681014
-20.054,150,29.796914
-1.952,58,29.842171
-30.475,64,29.898508
-21.403,150,30.015308
-13.457,150,30.137724
2.784,6,30.14172
-12.346,150,30.259203
-9.958,150,30.393041
-17.711,150,30.528633
2.383,4,30.532632
-10.429,150,30.656595
-33.193,150,30.781989
-33.483,150,30.892383
-20.028,150,30.999704
-11.828,150,31.119686
-18.448,150,31.237636
-2.852,47,31.277632
-24.805,150,31.392003
-22.466,150,31.506907
-38.412,74,31.582506
-15.714,150,31.708025
1.439,17,31.723033
-34.472,150,31.840236
-9.15,150,31.953702
-10.83,150,32.053431
-13.218,150,32.174363
-10.593,150,32.28134
-0.518,62,32.341649
-13.179,150,32.454022
2.463,4,32.458022
-31.002,150,32.577209
-25.444,150,32.690856
-0.108,73,32.754856
-36.223,150,32.866443
-18.457,150,32.990809
-0.154,45,33.03368
-8.815,150,33.159995
-23.614,150,33.271331
-34.552,150,33.381967
-12.497,150,33.500592
-9.999,150,33.608206
-16.238,150,33.712983
-9.492,150,33.8289
-11.85,150,33.947915
-0.875,47,33.984915
-7.761,150,34.094523
-5.559,150,34.22606
-30.219,150,34.357747
-23.241,150,34.485512
-93.476,150,34.624167
-24.451,150,34.793417
-14.606,150,34.937673
-16.09,150,35.047341
-12.451,150,35.168527
-15.545,150,35.278351
-14.614,150,35.405379
-16.466,150,35.552125
-25.576,150,35.689614
-12.247,150,35.830297
-14.531,150,35.954091
-19.82,150,36.067714
2.589,6,36.072714
-12.616,150,36.179724
-28.753,150,36.295
-11.83,150,36.40972
-3.055,66,36.466729
1.554,43,36.507213
-16.207,150,36.665677
2.448,6,36.671678
-20.69,150,36.780425
2.349,6,36.785425
-18.863,150,36.903923
-17.918,150,37.016564
-34.972,22,37.031564
-28.984,150,37.141061
-14.404,150,37.270404
2.657,7,37.277404
-10.881,150,37.396646
-12.996,150,37.509657
-34.859,150,37.639907
-21.516,150,37.756212
-29.514,150,37.860124
-8.983,150,37.979266
-16.726,150,38.10259
-8.333,150,38.210898
-31.643,150,38.324813
-30.864,150,38.424047
-27.395,150,38.557971
-17.489,150,38.664038
-26.785,150,38.77701
-15.312,150,38.891812
-10.32,150,39.019373
2.673,4,39.022372
2.581,5,39.026372
-19.093,150,39.13417
2.738,4,39.141241
-22.434,150,39.2683
-14.433,150,39.373297
1.333,31,39.398299
-3.76,100,39.493282
-13.497,150,39.608682
-37.988,150,39.734295
-16.725,150,39.846117
1.97,8,39.855797
-20.372,150,39.973337
-10.356,150,40.086454
-24.841,23,40.103464
-17.251,150,40.22186
-7.607,150,40.329618
-28.552,19,40.347634
-0.523,62,40.405817
-13.227,150,40.519695
-22.973,150,40.640637
-12.484,150,40.761383
-14.206,150,40.876563
-20.008,150,41.004455
2.679,6,41.012455
-9.033,150,41.138525
-11.308,150,41.256528
0.223,58,41.317035
-14.279,150,41.42843
2.326,5,41.432431
-11.716,150,41.540446
-2.811,79,41.613869
-11.508,150,41.733841
-5.653,128,41.83546
-28.966,150,41.943017
-16.885,150,42.947585
-12.199,150,43.065791
-8.678,150,43.193318
-26.404,150,43.303437
-9.509,150,43.433333
-24.521,150,43.557572
-19.169,150,43.69465
2.74,3,43.697652
-114.575,150,43.832168
-12.219,150,43.96394
-28.827,150,44.139919
-16.519,150,44.278968
-10.919,150,44.400911
-29.058,150,44.535687
-17.169,150,44.665438
-19.68,150,44.801162
-11.406,150,44.943987
-14.972,150,45.070671
-9.148,150,45.190207
0.547,39,45.22501
-20.283,150,45.353701
2.8,7,45.361002
-10.916,150,45.477002
-13.936,150,45.606397
2.659,6,45.613397
-24.821,150,45.72747
-7.703,150,45.852243
2.571,5,45.859243
2.684,6,45.866734
-0.464,29,45.891734
-9.503,150,46.015322
2.661,5,46.020325
2.632,5,46.027925
0.519,34,46.061924
-24.474,150,46.183116
-1.31,73,46.246118
-12.635,150,46.365638
-17.182,150,46.481106
-28.649,150,46.600747
-32.16,150,46.722006
-12.574,150,46.843083
-21.126,150,46.966877
-28.475,27,46.986877
-11.109,150,47.122215
-10.317,150,47.251934
1.432,26,47.275476
2.665,8,47.283476
