#{"t_start": 1775686747.7405581, "env_id": "None"}
r,l,t
-2.006,53,0.219743
-20.204,150,0.336353
-21.882,150,0.449294
-32.482,20,0.467552
-21.807,150,0.571347
-43.445,150,0.679808
-22.841,150,0.783191
-146.573,150,0.881538
-18.724,150,0.976907
-28.283,150,1.078095
-55.58,111,1.152459
-39.563,150,1.255931
-22.3,150,1.345288
-18.294,150,1.441051
-25.244,150,1.537702
-15.039,150,1.910724
-20.089,150,2.018725
-12.196,150,2.121446
-131.373,150,2.218697
-21.465,150,2.316937
-34.161,32,2.338937
-25.924,150,2.4366
-24.344,150,2.534622
-26.951,150,2.626329
-36.413,150,2.722542
-16.711,150,2.819925
-15.892,150,2.919822
-19.247,150,3.016868
-33.332,150,3.110459
-19.584,150,3.496872
-0.968,48,3.529766
-22.375,150,3.64277
-18.112,150,3.745391
2.293,8,3.751759
-16.231,150,3.847138
-16.01,150,3.940171
-16.649,150,4.038478
-11.879,150,4.138298
-35.128,150,4.229552
-30.043,150,4.327053
-4.779,74,4.376053
-25.488,150,4.470054
-3.53,52,4.506053
-30.488,22,4.522053
-10.152,120,4.598818
-19.799,150,4.694678
2.19,5,4.698678
-25.774,150,4.796473
-26.029,150,5.164851
-11.899,150,5.270307
-0.636,37,5.296307
-27.148,150,5.390064
-12.182,150,5.487089
-19.848,150,5.58442
-5.213,87,5.643929
-21.359,150,5.741115
-20.568,150,5.839951
-21.437,150,5.932329
-25.046,150,6.028913
-16.917,150,6.129868
-20.99,150,6.230439
-22.453,150,6.328442
2.192,7,6.333441
1.152,7,6.338441
-18.541,150,6.441852
-4.433,83,6.784317
-16.049,150,6.89022
-40.417,26,6.910164
-5.041,78,6.962899
-18.512,150,7.05854
-13.644,150,7.15354
-20.087,150,7.250829
-15.144,150,7.353807
-3.393,76,7.40485
-34.818,24,7.42185
-26.138,23,7.43885
-22.493,150,7.538223
-1.596,59,7.579474
2.362,8,7.58585
-7.567,150,7.689017
-1.94,115,7.770119
-16.821,150,7.869343
-5.31,82,7.924082
-15.709,150,8.023865
-8.021,150,8.422299
-31.715,150,8.526702
-12.509,150,8.630017
-17.09,150,8.725109
2.26,3,8.728109
-32.612,150,8.82475
-12.384,150,8.92403
0.57,45,8.959305
-37.229,30,8.984506
-5.761,96,9.047815
-10.28,150,9.151205
-21.858,150,9.255824
-32.765,150,9.358031
-26.646,150,9.457723
-26.419,13,9.467723
-7.546,141,9.565777
-6.356,150,9.682321
2.511,8,9.68932
-12.75,150,9.788198
-5.103,90,10.125932
-18.639,150,10.238032
-16.798,150,10.338758
-18.175,150,10.438756
-15.276,150,10.540759
-23.719,150,10.637781
-30.361,150,10.737221
0.256,59,10.780598
-22.458,150,10.878613
-24.189,150,10.977081
-0.353,45,11.010081
-16.147,150,11.113716
-23.429,150,11.21669
-16.134,150,11.319612
-25.911,150,11.419683
-3.825,60,11.463683
-17.657,150,11.831675
2.778,4,11.835174
-14.185,150,11.94156
-9.827,150,12.0436
-0.027,67,12.090123
-0.404,47,12.125245
-12.376,150,12.221856
0.505,28,12.243594
-28.715,15,12.254958
2.024,7,12.260437
-11.259,150,12.363943
-11.003,150,12.463296
-37.918,150,12.555891
-10.973,150,12.673807
2.137,40,12.705826
-0.159,44,12.738928
-14.346,150,12.891138
-25.363,43,12.923842
-24.661,150,13.023678
-3.178,61,13.070832
-17.569,150,13.174972
-11.547,150,13.649998
-23.992,10,13.657998
2.562,7,13.662998
-7.406,150,13.771008
-10.931,150,13.873232
-28.937,14,13.884588
-1.464,93,13.947148
-0.917,45,13.979148
-1.306,55,14.018563
-4.449,106,14.090596
-13.237,150,14.185458
-16.977,150,14.285867
-0.319,44,14.317008
-2.549,102,14.387522
-11.428,150,14.487521
-12.987,150,14.593753
-14.348,150,14.697666
-5.032,150,14.806678
-19.384,150,14.907433
2.405,6,14.912677
0.354,66,14.960293
-26.977,27,14.979293
-26.123,20,14.994293
-3.357,95,15.334499
-6.505,150,15.436497
-11.777,150,15.538507
-146.715,150,15.635127
-7.362,150,15.740672
-8.729,150,15.848983
1.075,31,15.872474
2.393,8,15.878474
-1.081,55,15.917632
-18.688,150,16.018247
-8.293,150,16.123546
-0.356,83,16.183436
-11.49,150,16.287816
0.805,34,16.313302
0.684,33,16.337465
-1.842,66,17.766002
1.357,56,17.806769
-7.983,150,17.905462
0.68,35,17.930461
-18.926,150,18.030567
0.781,36,18.056822
2.597,49,18.092271
-11.257,150,18.573493
-12.699,150,18.680629
-2.505,87,18.74215
-11.634,150,18.847274
1.679,45,18.881484
-10.302,150,18.981223
-1.175,61,19.025404
-10.436,150,19.129565
-15.696,150,19.236127
-34.038,150,19.349651
-30.56,24,19.371359
-24.561,150,19.478985
1.17,42,19.510483
-19.574,150,19.612826
-1.031,48,19.646826
2.717,47,19.681328
0.076,19,19.694511
0.329,50,19.731048
-15.829,150,19.835124
-30.073,150,20.215444
-27.974,21,20.232611
-7.205,150,20.357846
-11.69,150,20.464567
-16.994,150,20.566251
-3.178,85,20.627012
-31.347,150,20.724682
-9.338,150,20.827885
1.399,50,20.865089
-33.126,150,20.966729
-27.009,150,21.066
-8.737,150,21.171539
-14.473,150,21.274576
-9.859,150,21.378309
-1.441,91,21.442962
0.243,24,21.46006
-11.723,150,21.566277
-3.088,88,21.631835
-0.407,59,21.954894
-9.978,150,22.066591
-1.965,88,22.136805
-15.385,150,22.238379
0.559,103,22.313186
-0.574,79,22.368264
1.03,53,22.406754
-0.123,77,22.461754
-26.703,10,22.468755
-13.571,150,22.574854
-0.549,68,22.625692
-10.822,150,22.728639
0.152,62,22.773894
-7.035,150,22.877885
-5.482,150,22.981272
-2.923,114,23.062339
-10.701,150,23.162907
0.655,103,23.237651
-12.381,150,23.344312
1.721,23,23.361809
-17.115,150,23.720147
-15.411,150,23.836467
-0.565,96,23.902816
-18.618,150,24.007347
-16.093,150,24.110864
0.836,35,24.137235
-1.227,74,24.19025
-19.224,150,24.290692
-13.686,150,24.396446
2.74,3,24.399634
-27.153,27,24.418222
-11.062,150,24.5314
-39.293,30,24.55337
-1.743,116,24.637852
-9.855,150,24.738718
-0.567,42,24.769947
2.536,6,24.774946
-14.136,150,24.880079
-0.232,76,24.939651
1.211,49,24.976035
-22.252,150,25.080276
-0.04,46,25.396284
-5.436,150,25.511251
-29.958,19,25.525252
-10.091,150,25.632511
-0.896,49,25.668511
2.533,7,25.673517
1.16,40,25.70373
-14.015,150,25.809787
-8.886,150,25.916943
-1.953,112,25.997999
-16.897,150,26.102715
2.345,6,26.106715
-28.23,150,26.212586
-0.399,71,26.265191
-23.137,150,26.36767
0.303,53,26.40641
-9.883,150,26.511989
-16.689,150,26.614279
-0.579,41,26.644503
-7.907,150,26.752666
-11.751,150,27.140977
