#{"t_start": 1775500359.2765203, "env_id": "None"}
r,l,t
-65.56,150,0.097468
-59.88,150,0.135486
-255.725,150,0.174019
-211.65,150,0.210018
-87.11,150,0.250404
-33.21,29,0.258406
-211.385,150,0.286916
-71.045,150,0.321825
-163.715,150,0.364202
-174.51,150,0.396047
-78.8,150,0.43753
-128.87,150,0.483054
-141.545,150,0.518746
-62.42,44,0.530751
-256.98,150,0.566234
-164.26,150,0.606737
-181.695,150,0.650375
-42.51,85,0.678257
-165.49,150,0.720534
-38.91,37,0.730534
-196.89,150,0.767943
-184.865,150,0.799454
-36.05,145,0.833589
-114.075,150,0.876126
-48.315,150,0.925306
-216.15,150,0.966212
-145.085,150,1.002714
-63.37,150,1.035872
-168.17,150,1.071523
-85.89,150,1.104202
0.525,6,1.108206
-82.485,64,1.125205
-202.12,150,1.156782
-80.335,150,1.200686
-60.67,150,1.235706
-87.98,150,1.266844
-217.13,150,1.303985
-105.545,150,1.913847
-73.85,150,3.449266
-98.24,150,5.409867
-228.13,150,7.176713
-273.09,150,8.646101
-76.945,150,10.20215
-42.7,150,11.771421
-2.815,24,12.045009
-263.06,150,13.83899
-94.635,57,14.488084
-82.25,150,16.045691
-306.975,150,17.683178
-208.65,150,19.171133
-39.07,29,19.444122
-20.675,150,20.914055
-125.135,150,22.492611
-36.385,28,22.820153
-16.75,13,22.954195
-68.165,65,23.758643
-74.19,150,25.43337
-97.265,150,26.903095
-41.845,150,28.455859
-21.36,150,30.041026
-68.33,62,30.692461
-154.585,150,32.183951
-83.97,61,32.805359
-40.57,42,33.207163
-182.3,150,34.881964
-80.78,150,36.578684
-85.285,150,38.10051
-181.075,150,39.554622
-182.615,150,41.698387
-296.185,150,43.576685
-21.895,146,45.140457
-222.05,150,46.780524
-93.43,150,48.460032
-232.95,150,49.997005
-336.55,150,51.498821
-332.13,150,53.170371
-297.82,150,54.855024
-307.18,150,56.454802
-142.06,150,58.002026
-48.77,33,58.321123
-172.225,150,59.807299
-317.195,150,61.454742
-250.345,150,62.958136
-177.55,150,64.714466
0.895,3,64.781345
-130.385,150,66.419014
-240.685,150,68.109821
-143.565,83,68.900992
-20.165,11,69.034464
-305.235,150,70.555658
-116.135,150,72.237044
-82.215,150,74.15102
-278.83,150,75.647343
-33.68,28,75.929826
-78.43,44,76.361628
-32.255,24,76.603186
-288.095,150,78.154787
-157.985,150,79.842006
-165.985,150,81.536554
-46.32,150,83.211315
-180.255,150,84.774582
-129.895,150,86.440042
-330.505,150,87.985096
-64.425,150,89.452029
-86.47,37,89.830498
-25.465,25,90.110358
-152.64,150,91.717314
-69.63,38,92.195949
-94.34,68,93.012671
-432.51,150,94.622459
-11.365,8,94.705261
0.715,4,94.745131
-274.615,150,96.314095
-107.69,62,96.9687
-349.915,150,98.611619
-62.2,40,99.010377
-45.525,29,99.307016
-265.01,150,101.012718
-236.695,150,102.589101
-46.25,22,102.793931
0.615,4,102.846535
-302.5,150,104.540242
-83.98,60,105.142074
-181.1,150,106.63879
-72.97,56,107.231675
-36.695,35,107.601543
-33.865,46,108.084542
-73.4,65,108.723471
-186.435,150,110.545035
-218.22,150,112.229895
-278.375,150,113.712616
-32.33,29,114.039778
0.695,3,114.046017
-55.74,25,114.328071
-185.34,150,115.949138
-235.08,150,117.540303
-392.555,150,119.040072
-491.095,150,120.547652
-47.12,35,120.880368
-309.155,150,122.795211
-55.005,37,123.209421
-226.41,150,124.745929
-118.575,51,125.231329
-120.81,37,125.625705
-53.085,26,125.899944
-296.95,150,127.407419
-288.25,150,129.260667
-48.48,28,129.674901
-111.29,43,130.238824
-93.195,36,130.657609
-71.55,150,132.178797
-73.77,150,133.697647
-54.62,29,134.067396
-348.675,150,135.673303
-365.745,150,137.162076
-76.945,150,138.715578
-42.59,30,139.047452
-45.82,43,139.598847
-418.83,150,141.423252
-203.66,150,142.983609
-100.135,58,143.559769
-27.265,22,143.806553
-34.355,18,143.982233
-346.255,150,145.476682
-59.255,38,145.869865
-191.855,150,147.556629
-17.675,13,147.675529
-334.64,150,149.19587
-203.79,150,150.782042
-271.225,150,152.489573
-201.04,150,154.084848
-103.775,80,154.873555
-94.44,42,155.337858
-63.875,44,155.781099
-112.315,150,157.298152
-36.15,27,157.603069
-142.505,89,158.76321
-91.18,150,160.432782
