#{"t_start": 1775494650.531442, "env_id": "None"}
r,l,t
-114.44,150,2.100177
-203.78,150,3.759854
-110.26,150,5.073505
-224.385,150,6.354148
-51.06,41,7.546238
-168.415,150,9.154666
-117.83,150,10.753024
-70.695,150,12.244837
-110.05,150,13.493613
-80.32,150,14.852743
-113.53,150,16.634441
-134.06,150,18.317172
-90.56,150,19.749113
-105.075,150,21.045935
-214.975,150,22.472141
-246.025,150,23.909104
-134.135,150,25.587612
-65.12,150,27.253325
-0.075,5,27.264487
-176.72,150,28.813676
-249.33,150,30.128163
-22.34,150,31.334896
-31.225,27,32.733589
-130.94,74,32.844177
-193.86,150,34.119123
-22.16,17,34.140123
-120.98,92,35.336385
-90.78,150,36.629677
-37.355,150,38.201384
-78.89,150,39.974222
-10.345,6,39.983222
-47.05,150,41.409589
-275.4,150,42.653374
-21.795,150,43.931637
-102.6,150,45.150077
-60.855,150,46.674934
-145.24,150,48.277893
-98.505,150,50.034833
-35.08,150,51.257715
-17.56,80,52.43299
-151.425,150,53.846649
-214.3,150,55.172349
-237.28,150,56.53344
-138.01,150,57.771873
-65.03,150,59.475505
-141.82,150,61.175552
-15.355,46,61.23233
-55.165,150,62.312687
0.595,4,62.318686
-143.185,150,63.738328
-174.33,150,65.698512
-270.135,150,67.314367
-325.165,150,68.613244
-184.345,150,69.877849
-190.545,150,71.157443
-41.915,21,71.185301
-25.2,89,72.636038
-69.525,150,73.855126
-34.15,31,75.382776
-34.92,54,75.453364
-74.715,150,76.740615
-37.16,40,76.795685
-83.39,150,78.191446
-241.95,150,79.753041
-201.745,150,80.986878
-204.93,150,82.200508
-313.015,150,83.600719
-34.675,150,85.314223
-148.61,150,87.006156
-166.08,150,88.490217
-134.785,150,89.91933
-71.025,44,89.980379
-61.995,150,91.281313
-33.68,25,91.316938
-19.205,12,91.332945
-104.87,150,92.954813
-170.29,150,94.114686
-83.515,50,95.129738
-131.735,150,96.810283
-174.205,150,98.364431
-114.935,150,99.662261
-35.235,31,99.711261
-108.75,150,100.835832
-143.895,150,102.665298
-230.875,150,104.190502
-51.88,150,105.639452
-87.13,150,106.960475
-49.855,28,107.007601
-257.675,150,108.29326
-135.205,150,109.833286
-230.485,150,111.44249
-119.74,150,112.69806
-75.99,46,112.765711
-164.32,150,114.0361
-213.46,150,115.648568
-49.4,150,117.167076
-62.39,150,118.410229
-27.0,150,119.807084
-124.615,150,121.229374
-241.035,150,123.064569
-241.45,150,124.64117
-50.915,150,126.012761
-21.195,15,126.037052
-176.47,150,127.139345
-288.325,150,128.673646
-49.14,150,130.444583
-145.59,150,131.833567
