method,seed,episode,return,ep_len,breach,contained,max_stage,avg_security_loss,avg_availability_loss,sum_action_cost
A2C,3,0,-31.611999999999995,38,1,0,4,1.5203947368421051,0.0,3.0400000000000005
A2C,3,1,-30.292,33,1,0,4,1.443939393939394,0.0,2.64
A2C,3,2,-26.358,28,1,0,4,0.6419642857142857,0.0,2.24
A2C,3,3,-52.52,64,1,0,4,2.48046875,0.0,5.12
A2C,3,4,-41.172,44,1,0,4,1.31875,0.0,3.5200000000000005
A2C,3,5,-28.889,23,1,0,4,1.5021739130434784,0.0,1.8400000000000005
A2C,3,6,-33.733999999999995,41,1,0,4,1.5439024390243903,0.0,3.2800000000000002
A2C,3,7,2.67,3,0,1,0,0.0,0.0,0.24
A2C,3,8,-34.706,30,1,0,4,1.2149999999999999,0.0,2.4000000000000004
A2C,3,9,-30.172,35,1,0,4,0.7828571428571429,0.0,2.8000000000000003
A2C,3,10,-31.633000000000003,34,1,0,4,1.1683823529411768,0.0,2.72
A2C,3,11,-36.632,31,1,0,4,1.1016129032258064,0.0,2.4800000000000004
A2C,3,12,-34.357,28,1,0,4,1.6303571428571428,0.0,2.24
A2C,3,13,-33.453,20,1,0,4,1.5362499999999997,0.0,1.6000000000000003
A2C,3,14,-30.237,63,1,0,4,0.6869047619047619,0.0,5.040000000000001
A2C,3,15,-32.801,40,1,0,4,1.6581249999999996,0.0,3.2
A2C,3,16,2.67,3,0,1,0,0.0,0.0,0.24
A2C,3,17,-29.514000000000003,30,1,0,4,0.6599999999999999,0.0,2.4000000000000004
A2C,3,18,-27.823999999999998,14,1,0,4,1.1285714285714286,0.0,1.1199999999999999
A2C,3,19,-33.637,43,1,0,4,1.5732558139534882,0.0,3.4400000000000004
A2C,3,20,2.6719999999999997,4,0,1,1,0.025,0.0,0.32
A2C,3,21,2.6719999999999997,4,0,1,1,0.025,0.0,0.32
A2C,3,22,-41.643,49,1,0,4,1.619387755102041,0.0,3.9200000000000004
A2C,3,23,-31.334000000000003,40,1,0,4,1.548125,0.0,3.2
A2C,3,24,-47.079,30,1,0,4,2.0016666666666665,0.0,2.4000000000000004
A2C,3,25,2.67,3,0,1,0,0.0,0.0,0.24
A2C,3,26,-39.967,26,1,0,4,1.9192307692307695,0.0,2.08
A2C,3,27,-25.767000000000003,17,1,0,4,0.95,0.0,1.36
A2C,3,28,-30.403,24,1,0,4,1.3635416666666667,0.0,1.92
A2C,3,29,-26.172,19,1,0,4,0.6526315789473686,0.0,1.5200000000000002
A2C,3,30,-32.098,31,1,0,4,1.317741935483871,0.0,2.4800000000000004
A2C,3,31,-40.07,47,1,0,4,1.7819148936170213,0.0,3.7600000000000007
A2C,3,32,-27.354000000000003,32,1,0,4,0.99375,0.0,2.56
A2C,3,33,-38.679,33,1,0,4,2.062121212121212,0.0,2.64
A2C,3,34,-30.711,40,1,0,4,1.0518750000000001,0.0,3.2
A2C,3,35,-30.367,18,1,0,4,1.3208333333333333,0.0,1.4400000000000002
A2C,3,36,2.67,3,0,1,0,0.0,0.0,0.24
A2C,3,37,-28.636,35,1,0,4,1.2628571428571427,0.0,2.8000000000000003
A2C,3,38,-44.094,62,1,0,4,1.3858870967741936,0.0,4.960000000000001
A2C,3,39,-30.358999999999998,32,1,0,4,1.1070312500000001,0.0,2.56
A2C,3,40,2.6719999999999997,4,0,1,1,0.025,0.0,0.32
A2C,3,41,-45.144000000000005,81,1,0,4,2.077777777777778,0.0,6.4799999999999995
A2C,3,42,-30.658,36,1,0,4,1.4124999999999999,0.0,2.8800000000000003
A2C,3,43,-26.647000000000002,23,1,0,4,0.6858695652173913,0.0,1.8400000000000005
A2C,3,44,2.67,3,0,1,0,0.0,0.0,0.24
A2C,3,45,2.67,3,0,1,0,0.0,0.0,0.24
A2C,3,46,-39.085,39,1,0,4,2.4711538461538467,0.0,3.1200000000000006
A2C,3,47,-29.759,26,1,0,4,1.1461538461538463,0.0,2.08
A2C,3,48,-31.422,64,1,0,4,1.18203125,0.0,5.12
A2C,3,49,-34.963,55,1,0,4,1.2245454545454544,0.0,4.4
A2C,3,50,-26.195,36,1,0,4,0.7361111111111112,0.0,2.8800000000000003
A2C,3,51,-31.72,13,1,0,4,1.5,0.0,1.0399999999999998
A2C,3,52,-32.097,41,1,0,4,1.7780487804878047,0.0,3.2800000000000002
A2C,3,53,-31.044,40,1,0,4,1.1325,0.0,3.2
A2C,3,54,-32.759,40,1,0,4,1.1168749999999998,0.0,3.2
A2C,3,55,2.6719999999999997,4,0,1,1,0.025,0.0,0.32
A2C,3,56,2.6719999999999997,4,0,1,1,0.025,0.0,0.32
A2C,3,57,-34.754999999999995,41,1,0,4,1.6768292682926833,0.0,3.2800000000000002
A2C,3,58,-41.05200000000001,27,1,0,4,2.144444444444445,0.0,2.16
A2C,3,59,2.674,5,0,1,1,0.04,0.0,0.4
A2C,3,60,-27.604,19,1,0,4,1.5421052631578946,0.0,1.5200000000000002
