method,seed,episode,return,ep_len,breach,contained,max_stage,avg_security_loss,avg_availability_loss,sum_action_cost
A2C_Safe,4,0,1.6029999999999995,150,0,0,2,0.17850000000000005,0.0,7.930000000000001
A2C_Safe,4,1,-51.879999999999995,61,1,0,4,1.2069672131147542,0.22950819672131148,8.239999999999998
A2C_Safe,4,2,2.6719999999999997,4,0,1,1,0.025,0.0,0.32
A2C_Safe,4,3,2.6719999999999997,4,0,1,1,0.025,0.0,0.32
A2C_Safe,4,4,-74.04599999999999,76,1,0,4,0.9796052631578945,0.21052631578947367,8.699999999999998
A2C_Safe,4,5,-55.628,42,1,0,4,2.151190476190476,0.36904761904761907,7.080000000000001
A2C_Safe,4,6,2.67,3,0,1,0,0.0,0.0,0.24
A2C_Safe,4,7,1.6529999999999991,150,0,0,2,0.20099999999999998,0.0,7.29
A2C_Safe,4,8,-56.52799999999999,57,1,0,4,1.8767543859649118,0.18421052631578946,7.08
A2C_Safe,4,9,-48.861999999999995,57,1,0,4,1.3622807017543863,0.3157894736842105,8.85
A2C_Safe,4,10,0.265999999999998,150,0,0,3,0.2861666666666666,0.0,8.02
A2C_Safe,4,11,2.6719999999999997,4,0,1,1,0.025,0.0,0.32
A2C_Safe,4,12,-34.019,31,1,0,4,1.2233870967741935,0.22580645161290322,4.160000000000001
A2C_Safe,4,13,0.9749999999999998,150,0,0,2,0.23416666666666666,0.0,7.85
A2C_Safe,4,14,2.67,3,0,1,0,0.0,0.0,0.24
A2C_Safe,4,15,-54.022000000000006,54,1,0,4,1.6324074074074075,0.3055555555555556,8.28
A2C_Safe,4,16,-35.459,47,1,0,4,1.067553191489362,0.10638297872340426,4.960000000000001
A2C_Safe,4,17,-74.6,70,1,0,4,2.244642857142857,0.35714285714285715,11.599999999999994
A2C_Safe,4,18,-30.544,24,1,0,4,0.9343749999999998,0.10416666666666667,2.52
A2C_Safe,4,19,-34.394,38,1,0,4,0.9815789473684212,0.15789473684210525,4.480000000000001
A2C_Safe,4,20,-76.25000000000003,111,1,0,4,1.7927927927927922,0.32882882882882886,17.639999999999993
A2C_Safe,4,21,-54.286,60,1,0,4,1.8283333333333327,0.21666666666666667,7.920000000000001
A2C_Safe,4,22,0.19399999999999948,150,0,0,3,0.3038333333333333,0.0,7.739999999999999
A2C_Safe,4,23,1.251000000000001,150,0,0,2,0.1736666666666667,0.0,8.750000000000004
A2C_Safe,4,24,1.2970000000000004,150,0,0,2,0.199,0.0,8.049999999999999
A2C_Safe,4,25,-76.87599999999999,150,0,0,4,2.263833333333334,0.38333333333333336,25.799999999999994
A2C_Safe,4,26,-59.84899999999999,61,1,0,4,2.0295081967213116,0.4426229508196721,11.359999999999996
A2C_Safe,4,27,0.6410000000000005,150,0,0,2,0.22199999999999998,0.0,8.67
A2C_Safe,4,28,2.67,3,0,1,0,0.0,0.0,0.24
A2C_Safe,4,29,-31.66,39,1,0,4,1.0544871794871795,0.0641025641025641,3.720000000000001
A2C_Safe,4,30,-44.307,39,1,0,4,1.4749999999999999,0.3717948717948718,6.600000000000002
A2C_Safe,4,31,-40.084,45,1,0,4,1.5372222222222218,0.18888888888888888,5.280000000000001
A2C_Safe,4,32,-172.27100000000002,150,0,0,4,2.7913333333333328,0.37666666666666665,25.559999999999995
A2C_Safe,4,33,-45.93499999999999,49,1,0,4,1.663265306122449,0.3163265306122449,7.64
A2C_Safe,4,34,2.67,3,0,1,0,0.0,0.0,0.24
A2C_Safe,4,35,-42.739000000000004,41,1,0,4,1.1841463414634144,0.18292682926829268,4.96
A2C_Safe,4,36,-35.06399999999999,36,1,0,4,1.3833333333333337,0.125,3.960000000000001
A2C_Safe,4,37,-57.792,53,1,0,4,2.2221698113207546,0.32075471698113206,8.32
A2C_Safe,4,38,-34.093,39,1,0,4,1.2525641025641028,0.10256410256410256,4.080000000000001
A2C_Safe,4,39,2.2469999999999994,150,0,0,3,0.15316666666666667,0.0,7.25
A2C_Safe,4,40,-53.294,28,1,0,4,2.19375,0.25,3.920000000000001
A2C_Safe,4,41,2.5030000000000006,150,0,0,2,0.15266666666666667,0.0,6.75
A2C_Safe,4,42,2.67,3,0,1,0,0.0,0.0,0.24
A2C_Safe,4,43,-36.047999999999995,33,1,0,4,1.2075757575757573,0.16666666666666666,3.96
A2C_Safe,4,44,-55.059999999999995,66,1,0,4,1.4924242424242422,0.4015151515151515,11.639999999999997
