method,seed,episode,return,ep_len,breach,contained,max_stage,avg_security_loss,avg_availability_loss,sum_action_cost
PPO,1,0,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
PPO,1,1,2.7279999999999998,5,0,1,1,0.08,0.0,0.4
PPO,1,2,2.666,5,0,1,1,0.06000000000000001,0.0,0.4
PPO,1,3,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
PPO,1,4,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
PPO,1,5,2.734,4,0,1,1,0.05,0.0,0.32
PPO,1,6,2.055000000000001,150,0,0,4,0.3866666666666666,0.0,0.56
PPO,1,7,6.459999999999988,150,0,0,2,0.06916666666666667,0.0,0.56
PPO,1,8,4.464999999999996,150,0,0,3,0.22583333333333333,0.0,0.72
PPO,1,9,2.67,3,0,1,0,0.0,0.0,0.24
PPO,1,10,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
PPO,1,11,2.67,3,0,1,0,0.0,0.0,0.24
PPO,1,12,-2.321999999999999,150,0,0,4,0.6668333333333335,0.0,0.56
PPO,1,13,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
PPO,1,14,-2.4399999999999986,150,0,0,4,0.6941666666666665,0.0,0.5599999999999999
PPO,1,15,2.67,3,0,1,0,0.0,0.0,0.24
PPO,1,16,2.6839999999999997,6,0,1,1,0.03333333333333333,0.0,0.48000000000000004
PPO,1,17,2.698,7,0,1,1,0.09285714285714285,0.0,0.48000000000000004
PPO,1,18,2.706,7,0,1,1,0.07857142857142858,0.0,0.48000000000000004
PPO,1,19,2.7379999999999995,4,0,1,1,0.0375,0.0,0.32
PPO,1,20,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
PPO,1,21,2.752,7,0,1,1,0.049999999999999996,0.0,0.56
PPO,1,22,3.68999999999999,150,0,0,4,0.2033333333333334,0.0,0.64
PPO,1,23,2.752,5,0,1,1,0.02,0.0,0.4
PPO,1,24,2.7359999999999998,5,0,1,1,0.06,0.0,0.4
PPO,1,25,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
PPO,1,26,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
PPO,1,27,-2.3279999999999985,150,0,0,4,0.7081666666666668,0.0,0.56
PPO,1,28,3.560999999999995,150,0,0,4,0.2578333333333333,0.0,0.64
PPO,1,29,-2.3680000000000003,150,0,0,4,0.6581666666666666,0.0,0.72
PPO,1,30,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
PPO,1,31,-1.9340000000000004,150,0,0,4,0.6519999999999998,0.0,0.56
PPO,1,32,2.678,5,0,1,1,0.03,0.0,0.4
PPO,1,33,2.67,3,0,1,0,0.0,0.0,0.24
PPO,1,34,4.499999999999995,150,0,0,4,0.1558333333333333,0.0,0.72
PPO,1,35,1.2300000000000013,150,0,0,4,0.43166666666666675,0.0,0.64
PPO,1,36,-0.5369999999999997,150,0,0,4,0.5735,0.0,0.56
PPO,1,37,2.762,6,0,1,2,0.10000000000000002,0.0,0.4
PPO,1,38,2.7379999999999995,4,0,1,1,0.0375,0.0,0.32
PPO,1,39,2.73,4,0,1,1,0.0625,0.0,0.32
PPO,1,40,0.14600000000000055,150,0,0,4,0.5278333333333333,0.0,0.64
PPO,1,41,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
PPO,1,42,-0.46800000000000025,150,0,0,4,0.5331666666666668,0.0,1.04
PPO,1,43,2.766,6,0,1,1,0.09166666666666667,0.0,0.4
PPO,1,44,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
PPO,1,45,4.459999999999991,150,0,0,3,0.21250000000000002,0.0,0.56
PPO,1,46,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
PPO,1,47,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
