method,seed,episode,return,ep_len,breach,contained,max_stage,avg_security_loss,avg_availability_loss,sum_action_cost
PPO_Safe,4,0,2.8179999999999996,4,0,1,1,0.0375,0.0,0.16
PPO_Safe,4,1,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,2,2.792,4,0,1,1,0.025,0.0,0.08
PPO_Safe,4,3,2.792,4,0,1,1,0.025,0.0,0.08
PPO_Safe,4,4,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,5,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,6,2.75,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,7,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,8,2.718,5,0,1,1,0.13,0.0,0.24
PPO_Safe,4,9,5.350999999999998,110,0,1,2,0.1890909090909091,0.0,2.39
PPO_Safe,4,10,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,11,2.792,4,0,1,1,0.025,0.0,0.08
PPO_Safe,4,12,2.86,5,0,1,1,0.05,0.0,0.16
PPO_Safe,4,13,4.903,150,0,0,2,0.08433333333333334,0.0,3.59
PPO_Safe,4,14,2.75,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,15,-54.697999999999944,150,0,0,3,0.8706666666666666,0.37333333333333335,22.719999999999995
PPO_Safe,4,16,-70.61000000000001,70,1,0,4,1.3124999999999998,0.34285714285714286,9.919999999999996
PPO_Safe,4,17,3.7770000000000037,150,0,0,2,0.12149999999999998,0.0,4.949999999999999
PPO_Safe,4,18,2.82,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,19,4.352000000000009,150,0,0,2,0.08316666666666668,0.0,4.719999999999999
PPO_Safe,4,20,-81.11000000000001,127,1,0,4,1.5639763779527567,0.35039370078740156,18.039999999999996
PPO_Safe,4,21,2.7399999999999993,150,0,0,2,0.16166666666666665,0.0,4.939999999999999
PPO_Safe,4,22,3.697,96,0,1,3,0.36432291666666666,0.0,2.0300000000000002
PPO_Safe,4,23,2.844,7,0,1,1,0.17142857142857143,0.0,0.24
PPO_Safe,4,24,3.6170000000000018,150,0,0,2,0.13733333333333334,0.0,4.889999999999999
PPO_Safe,4,25,2.758,4,0,1,1,0.1,0.0,0.24
PPO_Safe,4,26,2.8699999999999997,8,0,1,2,0.125,0.0,0.32
PPO_Safe,4,27,2.912,8,0,1,1,0.075,0.0,0.16
PPO_Safe,4,28,2.75,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,29,2.8899999999999997,8,0,1,1,0.109375,0.0,0.16
PPO_Safe,4,30,2.856,5,0,1,1,0.06,0.0,0.16
PPO_Safe,4,31,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,32,-59.235999999999976,150,0,0,3,1.1605000000000003,0.37333333333333335,22.879999999999995
PPO_Safe,4,33,2.82,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,34,2.75,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,35,2.82,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,36,-67.995,113,1,0,4,0.6957964601769911,0.33185840707964603,15.319999999999999
PPO_Safe,4,37,2.82,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,38,2.990000000000001,150,0,0,2,0.15333333333333332,0.0,5.129999999999999
PPO_Safe,4,39,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,40,2.746,5,0,1,1,0.06,0.0,0.24
PPO_Safe,4,41,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,42,2.75,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,43,-23.82899999999999,150,0,0,4,0.3920000000000002,0.18,13.769999999999996
PPO_Safe,4,44,4.2860000000000005,88,0,1,3,0.26193181818181815,0.0,1.9600000000000002
PPO_Safe,4,45,2.84,5,0,1,1,0.1,0.0,0.16
PPO_Safe,4,46,2.75,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,47,5.026000000000011,150,0,0,2,0.042833333333333334,0.0,4.199999999999999
PPO_Safe,4,48,-85.70599999999999,139,1,0,4,1.3062949640287769,0.36330935251798563,20.679999999999996
PPO_Safe,4,49,2.7779999999999996,4,0,1,1,0.0375,0.0,0.24
PPO_Safe,4,50,2.92,7,0,1,1,0.03571428571428571,0.0,0.24
PPO_Safe,4,51,2.82,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,52,2.8179999999999996,4,0,1,1,0.0375,0.0,0.16
PPO_Safe,4,53,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,54,2.8179999999999996,4,0,1,1,0.0375,0.0,0.16
PPO_Safe,4,55,2.792,4,0,1,1,0.025,0.0,0.08
PPO_Safe,4,56,2.7579999999999996,6,0,1,1,0.10833333333333334,0.0,0.4
PPO_Safe,4,57,-54.08799999999991,150,0,0,4,0.7781666666666667,0.37333333333333335,22.879999999999995
PPO_Safe,4,58,2.84,6,0,1,1,0.041666666666666664,0.0,0.16
PPO_Safe,4,59,2.884,7,0,1,1,0.028571428571428574,0.0,0.32
PPO_Safe,4,60,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,61,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,62,-51.233999999999995,83,1,0,4,1.288253012048193,0.27710843373493976,9.519999999999998
PPO_Safe,4,63,2.8,5,0,1,1,0.1,0.0,0.24
PPO_Safe,4,64,2.7300000000000013,150,0,0,2,0.2791666666666667,0.0,2.9099999999999997
PPO_Safe,4,65,2.8179999999999996,4,0,1,1,0.0375,0.0,0.16
PPO_Safe,4,66,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,67,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,68,2.75,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,69,2.7319999999999998,4,0,1,1,0.0875,0.0,0.16
PPO_Safe,4,70,4.825000000000002,150,0,0,2,0.07666666666666666,0.0,3.93
PPO_Safe,4,71,-47.75200000000001,46,1,0,4,1.3239130434782607,0.1956521739130435,3.7600000000000016
PPO_Safe,4,72,2.82,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,73,2.82,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,74,2.8219999999999996,4,0,1,1,0.025,0.0,0.16
PPO_Safe,4,75,3.3249999999999953,150,0,0,2,0.20833333333333334,0.0,3.7699999999999996
PPO_Safe,4,76,-56.63400000000001,65,1,0,4,2.016153846153846,0.3,8.2
PPO_Safe,4,77,-63.80399999999999,100,1,0,4,1.1892500000000001,0.31,12.879999999999997
PPO_Safe,4,78,4.580999999999995,150,0,0,3,0.10699999999999998,0.0,3.130000000000001
PPO_Safe,4,79,2.722,4,0,1,1,0.0875,0.0,0.32
PPO_Safe,4,80,4.573999999999998,124,0,1,3,0.24758064516129036,0.0,3.62
PPO_Safe,4,81,-80.85900000000005,150,0,0,4,0.9711666666666667,0.37333333333333335,22.879999999999995
PPO_Safe,4,82,2.856,5,0,1,1,0.06,0.0,0.16
PPO_Safe,4,83,2.8179999999999996,4,0,1,1,0.0375,0.0,0.16
PPO_Safe,4,84,2.7639999999999962,150,0,0,2,0.17716666666666664,0.0,5.639999999999999
PPO_Safe,4,85,2.884,7,0,1,1,0.1,0.0,0.24
PPO_Safe,4,86,4.052000000000004,150,0,0,2,0.09983333333333334,0.0,4.92
PPO_Safe,4,87,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,88,4.2829999999999995,150,0,0,3,0.13516666666666666,0.0,3.6100000000000003
PPO_Safe,4,89,4.5090000000000074,150,0,0,2,0.0805,0.0,4.329999999999999
PPO_Safe,4,90,2.8179999999999996,4,0,1,1,0.0375,0.0,0.16
PPO_Safe,4,91,2.88,7,0,1,1,0.03571428571428571,0.0,0.32
PPO_Safe,4,92,-22.623999999999995,150,0,0,3,0.3245,0.18333333333333332,13.119999999999994
PPO_Safe,4,93,2.976,8,0,1,1,0.084375,0.0,0.16
PPO_Safe,4,94,2.8179999999999996,4,0,1,1,0.0375,0.0,0.16
PPO_Safe,4,95,-59.38899999999999,112,1,0,4,0.49263392857142857,0.33035714285714285,15.2
PPO_Safe,4,96,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,97,2.82,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,98,-42.891,57,1,0,4,0.799561403508772,0.16666666666666666,4.28
PPO_Safe,4,99,-139.79999999999998,150,0,0,4,1.8683333333333334,0.37333333333333335,22.719999999999995
PPO_Safe,4,100,2.77,4,0,1,1,0.0625,0.0,0.24
PPO_Safe,4,101,2.82,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,102,-39.53399999999999,150,0,0,3,0.5436666666666667,0.28,18.859999999999992
PPO_Safe,4,103,2.73,4,0,1,1,0.0625,0.0,0.32
PPO_Safe,4,104,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,105,3.829,73,0,1,3,0.2493150684931507,0.0,2.01
PPO_Safe,4,106,-89.80000000000001,110,1,0,4,2.0522727272727272,0.36363636363636365,16.399999999999995
PPO_Safe,4,107,2.82,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,108,3.781000000000004,150,0,0,2,0.14116666666666666,0.0,4.329999999999999
PPO_Safe,4,109,2.792,4,0,1,1,0.025,0.0,0.08
PPO_Safe,4,110,2.573999999999994,150,0,0,4,0.2988333333333333,0.0,1.98
PPO_Safe,4,111,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,112,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,113,4.414000000000007,150,0,0,2,0.088,0.0,4.339999999999999
PPO_Safe,4,114,3.2809999999999935,150,0,0,2,0.1886666666666667,0.0,4.19
PPO_Safe,4,115,2.9139999999999997,8,0,1,1,0.05625,0.0,0.32
PPO_Safe,4,116,2.8,4,0,1,0,0.0,0.0,0.08
PPO_Safe,4,117,2.82,6,0,1,1,0.0625,0.0,0.32
PPO_Safe,4,118,4.008000000000006,150,0,0,2,0.10683333333333332,0.0,4.839999999999999
PPO_Safe,4,119,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,120,2.822,7,0,1,2,0.08571428571428572,0.0,0.24
PPO_Safe,4,121,2.82,5,0,1,1,0.05,0.0,0.24
PPO_Safe,4,122,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,123,5.669999999999995,118,0,1,2,0.17478813559322035,0.0,2.58
PPO_Safe,4,124,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,125,2.75,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,126,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,127,4.505000000000006,150,0,0,2,0.0775,0.0,4.549999999999999
PPO_Safe,4,128,2.7439999999999998,5,0,1,1,0.13999999999999999,0.0,0.32
PPO_Safe,4,129,2.792,4,0,1,1,0.025,0.0,0.08
PPO_Safe,4,130,2.303999999999995,150,0,0,4,0.27633333333333326,0.0,2.92
PPO_Safe,4,131,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,132,-45.172000000000004,58,1,0,4,1.1383620689655172,0.1724137931034483,4.48
PPO_Safe,4,133,6.608000000000004,144,0,1,3,0.1095486111111111,0.0,3.9400000000000004
PPO_Safe,4,134,2.82,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,135,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,136,2.856,5,0,1,1,0.06,0.0,0.16
PPO_Safe,4,137,2.9099999999999997,6,0,1,1,0.041666666666666664,0.0,0.16
PPO_Safe,4,138,3.279000000000003,150,0,0,2,0.163,0.0,4.6
PPO_Safe,4,139,2.876,8,0,1,2,0.06875,0.0,0.24
PPO_Safe,4,140,-46.91900000000011,150,0,0,3,0.7178333333333332,0.32,20.419999999999995
PPO_Safe,4,141,2.8179999999999996,4,0,1,1,0.0375,0.0,0.16
PPO_Safe,4,142,3.4280000000000026,150,0,0,3,0.23350000000000004,0.0,2.96
PPO_Safe,4,143,-51.74299999999999,150,0,0,3,0.6873333333333332,0.37,22.679999999999993
PPO_Safe,4,144,3.823000000000003,150,0,0,3,0.151,0.0,4.15
PPO_Safe,4,145,4.309,78,0,1,3,0.26217948717948714,0.0,1.33
PPO_Safe,4,146,2.84,5,0,1,1,0.1,0.0,0.16
PPO_Safe,4,147,2.78,3,0,1,0,0.0,0.0,0.16
PPO_Safe,4,148,2.75,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,149,2.8259999999999996,8,0,1,1,0.13125,0.0,0.4
PPO_Safe,4,150,2.75,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,151,3.9959999999999987,104,0,1,2,0.25649038461538465,0.0,3.56
PPO_Safe,4,152,2.7439999999999998,6,0,1,1,0.075,0.0,0.32
PPO_Safe,4,153,2.82,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,154,2.163999999999999,150,0,0,3,0.25966666666666666,0.0,4.72
PPO_Safe,4,155,-68.25699999999992,150,0,0,4,1.8426666666666658,0.37333333333333335,22.799999999999997
PPO_Safe,4,156,4.41800000000001,150,0,0,2,0.07599999999999998,0.0,4.619999999999999
PPO_Safe,4,157,1.0449999999999988,150,0,0,3,0.21833333333333332,0.006666666666666667,5.220000000000001
PPO_Safe,4,158,2.75,3,0,1,0,0.0,0.0,0.08
PPO_Safe,4,159,4.7339999999999955,150,0,0,2,0.08133333333333333,0.0,3.8600000000000003
PPO_Safe,4,160,4.0320000000000045,150,0,0,2,0.10483333333333335,0.0,4.839999999999999
PPO_Safe,4,161,2.75,3,0,1,0,0.0,0.0,0.08
