method,seed,episode,return,ep_len,breach,contained,max_stage,avg_security_loss,avg_availability_loss,sum_action_cost
QRDQN,4,0,-49.35,32,1,0,4,1.1609375,0.25,3.2
QRDQN,4,1,-74.44999999999999,29,1,0,4,2.169827586206896,0.25,2.900000000000001
QRDQN,4,2,-105.97500000000001,37,1,0,4,2.504054054054054,0.25,3.7000000000000006
QRDQN,4,3,-50.099999999999994,22,1,0,4,1.8249999999999995,0.25,2.2000000000000006
QRDQN,4,4,-78.64999999999999,35,1,0,4,1.8792857142857144,0.25,3.5000000000000004
QRDQN,4,5,-114.62500000000001,51,1,0,4,1.9245098039215691,0.25,5.099999999999999
QRDQN,4,6,-130.59999999999997,49,1,0,4,2.3382653061224485,0.25,4.8999999999999995
QRDQN,4,7,-58.27499999999999,40,1,0,4,1.106875,0.25,4.0
QRDQN,4,8,-40.925,26,1,0,4,1.1567307692307691,0.25,2.6000000000000005
QRDQN,4,9,-51.12499999999999,23,1,0,4,1.7804347826086957,0.25,2.3000000000000007
QRDQN,4,10,-20.725,17,1,0,4,0.7000000000000001,0.25,1.7000000000000002
QRDQN,4,11,-75.45,45,1,0,4,1.3405555555555557,0.25,4.499999999999998
QRDQN,4,12,-54.625,26,1,0,4,1.6836538461538457,0.25,2.6000000000000005
QRDQN,4,13,-132.825,51,1,0,4,2.2813725490196073,0.25,5.099999999999999
QRDQN,4,14,-49.949999999999996,20,1,0,4,2.0225,0.25,2.0000000000000004
QRDQN,4,15,-91.37499999999997,39,1,0,4,1.98974358974359,0.25,3.900000000000001
QRDQN,4,16,-35.225,17,1,0,4,1.552941176470588,0.25,1.7000000000000002
QRDQN,4,17,-46.775,35,1,0,4,0.9685714285714285,0.25,3.5000000000000004
QRDQN,4,18,-82.35,37,1,0,4,1.8655405405405407,0.25,3.7000000000000006
QRDQN,4,19,-47.29999999999999,21,1,0,4,1.7892857142857141,0.25,2.1000000000000005
QRDQN,4,20,-75.6,36,1,0,4,1.7361111111111112,0.25,3.6000000000000005
QRDQN,4,21,-27.175,15,1,0,4,1.2533333333333334,0.25,1.5000000000000004
QRDQN,4,22,-57.22500000000001,26,1,0,4,1.7836538461538458,0.25,2.6000000000000005
QRDQN,4,23,-67.825,29,1,0,4,1.9413793103448278,0.25,2.900000000000001
QRDQN,4,24,-45.05,28,1,0,4,1.2053571428571428,0.25,2.8000000000000007
QRDQN,4,25,-156.22500000000005,51,1,0,4,2.740196078431372,0.25,5.099999999999999
QRDQN,4,26,-115.975,46,1,0,4,2.1874999999999996,0.25,4.599999999999998
QRDQN,4,27,-33.85,20,1,0,4,1.2174999999999998,0.25,2.0000000000000004
QRDQN,4,28,-55.425,39,1,0,4,1.067948717948718,0.25,3.900000000000001
QRDQN,4,29,-72.20000000000002,34,1,0,4,1.751470588235294,0.25,3.4000000000000004
QRDQN,4,30,-42.725,33,1,0,4,0.9181818181818181,0.25,3.3000000000000003
QRDQN,4,31,-79.64999999999999,38,1,0,4,1.739473684210526,0.25,3.8000000000000007
QRDQN,4,32,-116.5,45,1,0,4,2.2527777777777778,0.25,4.499999999999998
QRDQN,4,33,-59.10000000000001,33,1,0,4,1.4143939393939395,0.25,3.3000000000000003
QRDQN,4,34,-107.79999999999998,44,1,0,4,2.1113636363636363,0.25,4.399999999999999
QRDQN,4,35,-74.82499999999999,37,1,0,4,1.6621621621621625,0.25,3.7000000000000006
QRDQN,4,36,-42.07499999999999,25,1,0,4,1.258,0.25,2.5000000000000004
QRDQN,4,37,-55.00000000000001,35,1,0,4,1.2035714285714285,0.25,3.5000000000000004
QRDQN,4,38,-85.05,32,1,0,4,2.2765625,0.25,3.2
