method,seed,episode,return,ep_len,breach,contained,max_stage,avg_security_loss,avg_availability_loss,sum_action_cost
QRDQN_Safe,3,0,-62.22300000000001,150,0,0,4,0.9873333333333335,0.30666666666666664,21.669999999999995
QRDQN_Safe,3,1,-78.10900000000002,150,0,0,4,2.435333333333334,0.37333333333333335,25.409999999999993
QRDQN_Safe,3,2,2.636000000000001,150,0,0,2,0.12200000000000001,0.0,6.379999999999999
QRDQN_Safe,3,3,-91.22899999999997,113,1,0,4,2.6066371681415923,0.3938053097345133,19.69
QRDQN_Safe,3,4,-87.257,130,1,0,4,1.3723076923076925,0.35384615384615387,21.409999999999997
QRDQN_Safe,3,5,1.6879999999999988,150,0,0,2,0.16016666666666665,0.0,7.5
QRDQN_Safe,3,6,-49.706,57,1,0,4,1.5912280701754384,0.2543859649122807,8.04
QRDQN_Safe,3,7,-50.42900000000004,150,0,0,4,0.5528333333333333,0.36,24.749999999999993
QRDQN_Safe,3,8,-79.48599999999999,150,0,0,4,2.4596666666666667,0.37666666666666665,25.559999999999995
QRDQN_Safe,3,9,-63.288,94,1,0,4,1.528989361702128,0.324468085106383,14.779999999999994
QRDQN_Safe,3,10,-78.04299999999996,69,1,0,4,2.5666666666666673,0.38405797101449274,11.849999999999994
QRDQN_Safe,3,11,-122.6160000000001,127,1,0,4,2.9326771653543307,0.4448818897637795,23.719999999999995
QRDQN_Safe,3,12,2.261999999999999,150,0,0,3,0.16233333333333333,0.0,7.0
QRDQN_Safe,3,13,-94.1180000000002,150,0,0,4,2.8398333333333334,0.4633333333333333,28.679999999999993
QRDQN_Safe,3,14,-78.80800000000002,150,0,0,3,0.484,0.20333333333333334,17.279999999999994
QRDQN_Safe,3,15,-94.1049999999999,150,0,0,4,3.156666666666666,0.42333333333333334,27.209999999999994
QRDQN_Safe,3,16,-84.52799999999986,150,0,0,4,1.5564999999999998,0.41333333333333333,26.819999999999993
QRDQN_Safe,3,17,-86.99899999999998,150,0,0,4,2.6569999999999996,0.42,27.089999999999993
