method,seed,episode,return,ep_len,breach,contained,max_stage,avg_security_loss,avg_availability_loss,sum_action_cost
RecurrentPPO,1,0,-30.52,34,1,0,4,1.411764705882353,0.0,2.72
RecurrentPPO,1,1,-28.15,29,1,0,4,1.0344827586206897,0.0,2.3200000000000003
RecurrentPPO,1,2,-32.751,42,1,0,4,1.3529761904761903,0.0,3.3600000000000003
RecurrentPPO,1,3,-37.22,51,1,0,4,1.8480392156862748,0.0,4.08
RecurrentPPO,1,4,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
RecurrentPPO,1,5,-33.607,32,1,0,4,1.71953125,0.0,2.56
RecurrentPPO,1,6,-37.047,47,1,0,4,1.0164893617021276,0.0,3.7600000000000007
RecurrentPPO,1,7,-29.401,41,1,0,4,0.9256097560975609,0.0,3.2800000000000002
RecurrentPPO,1,8,-36.109,30,1,0,4,1.1891666666666667,0.0,2.4000000000000004
RecurrentPPO,1,9,-35.356,58,1,0,4,1.6737068965517243,0.0,4.640000000000001
RecurrentPPO,1,10,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
RecurrentPPO,1,11,-43.168,65,1,0,4,1.5438461538461539,0.0,5.2
RecurrentPPO,1,12,-29.340000000000003,34,1,0,4,0.7757352941176471,0.0,2.72
RecurrentPPO,1,13,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
RecurrentPPO,1,14,-34.193,46,1,0,4,1.8554347826086959,0.0,3.6800000000000006
RecurrentPPO,1,15,-34.771,53,1,0,4,0.5863207547169811,0.0,4.24
RecurrentPPO,1,16,-27.951,23,1,0,4,0.9380434782608696,0.0,1.8400000000000005
RecurrentPPO,1,17,-56.446,45,1,0,4,1.9211111111111112,0.0,3.6000000000000005
RecurrentPPO,1,18,-64.56399999999998,50,1,0,4,2.993499999999999,0.0,4.0
RecurrentPPO,1,19,2.7379999999999995,4,0,1,1,0.0375,0.0,0.32
RecurrentPPO,1,20,-27.834,37,1,0,4,0.6500000000000001,0.0,2.9600000000000004
RecurrentPPO,1,21,-36.689,24,1,0,4,2.220833333333333,0.0,1.92
RecurrentPPO,1,22,-24.759999999999998,15,1,0,4,0.8916666666666664,0.0,1.2
RecurrentPPO,1,23,-30.418,42,1,0,4,1.3952380952380952,0.0,3.3600000000000003
RecurrentPPO,1,24,-32.301,75,1,0,4,0.8243333333333334,0.0,6.0
RecurrentPPO,1,25,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
RecurrentPPO,1,26,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
RecurrentPPO,1,27,-29.137999999999998,28,1,0,4,1.0258928571428572,0.0,2.24
RecurrentPPO,1,28,-30.722,36,1,0,4,1.1812500000000001,0.0,2.8800000000000003
RecurrentPPO,1,29,-32.198,28,1,0,4,1.5973214285714281,0.0,2.24
RecurrentPPO,1,30,-29.111,33,1,0,4,1.3393939393939396,0.0,2.64
RecurrentPPO,1,31,-35.705000000000005,61,1,0,4,1.80327868852459,0.0,4.880000000000001
RecurrentPPO,1,32,-48.979,59,1,0,4,2.1661016949152545,0.0,4.720000000000001
RecurrentPPO,1,33,-33.949,42,1,0,4,1.6678571428571427,0.0,3.3600000000000003
RecurrentPPO,1,34,-24.39,19,1,0,4,0.625,0.0,1.5200000000000002
RecurrentPPO,1,35,-34.78,43,1,0,4,1.773255813953488,0.0,3.4400000000000004
RecurrentPPO,1,36,-43.346000000000004,24,1,0,4,1.8677083333333335,0.0,1.92
RecurrentPPO,1,37,-39.611999999999995,54,1,0,4,1.3083333333333333,0.0,4.32
RecurrentPPO,1,38,2.7379999999999995,4,0,1,1,0.0375,0.0,0.32
RecurrentPPO,1,39,-31.128,33,1,0,4,0.8136363636363636,0.0,2.64
RecurrentPPO,1,40,-39.0,47,1,0,4,2.3005319148936163,0.0,3.7600000000000007
RecurrentPPO,1,41,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
RecurrentPPO,1,42,-30.389000000000003,20,1,0,4,1.2150000000000003,0.0,1.6000000000000003
RecurrentPPO,1,43,-32.488,22,1,0,4,1.1409090909090909,0.0,1.7600000000000005
RecurrentPPO,1,44,-41.465,27,1,0,4,1.375,0.0,2.16
RecurrentPPO,1,45,-34.578,36,1,0,4,1.3604166666666668,0.0,2.8800000000000003
RecurrentPPO,1,46,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
RecurrentPPO,1,47,-29.256999999999998,51,1,0,4,0.7848039215686274,0.0,4.08
RecurrentPPO,1,48,-36.864000000000004,32,1,0,4,1.2671875,0.0,2.56
RecurrentPPO,1,49,-31.313000000000002,48,1,0,4,0.9369791666666668,0.0,3.8400000000000003
RecurrentPPO,1,50,-28.694,43,1,0,4,1.027325581395349,0.0,3.4400000000000004
RecurrentPPO,1,51,-30.348999999999997,22,1,0,4,0.7977272727272727,0.0,1.7600000000000005
RecurrentPPO,1,52,-27.919999999999998,23,1,0,4,1.1304347826086958,0.0,1.8400000000000005
RecurrentPPO,1,53,-28.698,28,1,0,4,1.092857142857143,0.0,2.24
RecurrentPPO,1,54,-33.875,21,1,0,4,1.5357142857142858,0.0,1.6800000000000004
RecurrentPPO,1,55,-28.839000000000002,18,1,0,4,1.6277777777777775,0.0,1.4400000000000002
RecurrentPPO,1,56,-33.425999999999995,28,1,0,4,1.788392857142857,0.0,2.24
RecurrentPPO,1,57,-48.164,84,1,0,4,1.6047619047619053,0.0,6.72
RecurrentPPO,1,58,-45.98800000000001,56,1,0,4,2.2272321428571424,0.0,4.48
RecurrentPPO,1,59,-25.87,17,1,0,4,1.0000000000000002,0.0,1.36
RecurrentPPO,1,60,-25.98,42,1,0,4,0.6577380952380952,0.0,3.3600000000000003
RecurrentPPO,1,61,-26.16,20,1,0,4,1.0062499999999999,0.0,1.6000000000000003
RecurrentPPO,1,62,-33.814,38,1,0,4,1.2973684210526313,0.0,3.0400000000000005
RecurrentPPO,1,63,-39.489,29,1,0,4,2.169827586206897,0.0,2.3200000000000003
RecurrentPPO,1,64,-36.273,35,1,0,4,1.3564285714285713,0.0,2.8000000000000003
RecurrentPPO,1,65,-31.022000000000006,53,1,0,4,1.1749999999999998,0.0,4.24
RecurrentPPO,1,66,-33.099000000000004,39,1,0,4,1.0269230769230766,0.0,3.1200000000000006
RecurrentPPO,1,67,-33.135,39,1,0,4,1.7500000000000004,0.0,3.1200000000000006
RecurrentPPO,1,68,-36.581,43,1,0,4,1.769186046511628,0.0,3.4400000000000004
RecurrentPPO,1,69,-32.826,59,1,0,4,0.9207627118644068,0.0,4.720000000000001
RecurrentPPO,1,70,-50.304,32,1,0,4,1.9078125,0.0,2.56
RecurrentPPO,1,71,-34.827999999999996,43,1,0,4,0.8511627906976743,0.0,3.4400000000000004
RecurrentPPO,1,72,-36.156,69,1,0,4,1.7981884057971016,0.0,5.5200000000000005
RecurrentPPO,1,73,-28.272,25,1,0,4,0.826,0.0,2.0
RecurrentPPO,1,74,-30.164,42,1,0,4,1.0607142857142857,0.0,3.3600000000000003
RecurrentPPO,1,75,-28.557,23,1,0,4,1.2619565217391304,0.0,1.8400000000000005
RecurrentPPO,1,76,-40.101,39,1,0,4,0.9858974358974362,0.0,3.1200000000000006
RecurrentPPO,1,77,-27.657999999999998,25,1,0,4,1.019,0.0,2.0
RecurrentPPO,1,78,-33.032000000000004,27,1,0,4,1.362037037037037,0.0,2.16
RecurrentPPO,1,79,-30.913,30,1,0,4,1.6283333333333332,0.0,2.4000000000000004
RecurrentPPO,1,80,-40.82299999999999,56,1,0,4,1.3254464285714285,0.0,4.48
RecurrentPPO,1,81,-52.294,70,1,0,4,2.604285714285715,0.0,5.6000000000000005
RecurrentPPO,1,82,-40.459999999999994,53,1,0,4,2.330188679245283,0.0,4.24
RecurrentPPO,1,83,-44.086000000000006,45,1,0,4,1.5294444444444442,0.0,3.6000000000000005
RecurrentPPO,1,84,-32.759,45,1,0,4,1.2733333333333334,0.0,3.6000000000000005
RecurrentPPO,1,85,-33.732,30,1,0,4,1.9341666666666666,0.0,2.4000000000000004
RecurrentPPO,1,86,-46.286,58,1,0,4,2.242672413793103,0.0,4.640000000000001
RecurrentPPO,1,87,-38.375,27,1,0,4,2.0925925925925926,0.0,2.16
RecurrentPPO,1,88,-32.784,29,1,0,4,1.1741379310344826,0.0,2.3200000000000003
RecurrentPPO,1,89,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
RecurrentPPO,1,90,-38.536,57,1,0,4,1.3478070175438597,0.0,4.5600000000000005
RecurrentPPO,1,91,-31.047,35,1,0,4,0.9328571428571428,0.0,2.8000000000000003
RecurrentPPO,1,92,-26.884999999999998,30,1,0,4,0.9000000000000001,0.0,2.4000000000000004
RecurrentPPO,1,93,-29.308,43,1,0,4,0.7930232558139535,0.0,3.4400000000000004
RecurrentPPO,1,94,-29.468,29,1,0,4,1.3439655172413794,0.0,2.3200000000000003
RecurrentPPO,1,95,-29.757999999999996,15,1,0,4,1.1983333333333335,0.0,1.2
RecurrentPPO,1,96,-27.906,18,1,0,4,0.6777777777777777,0.0,1.4400000000000002
