method,seed,episode,return,ep_len,breach,contained,max_stage,avg_security_loss,avg_availability_loss,sum_action_cost
RecurrentPPO_Safe,4,0,2.7379999999999995,4,0,1,1,0.0375,0.0,0.32
RecurrentPPO_Safe,4,1,-39.251999999999995,36,1,0,4,1.4138888888888888,0.20833333333333334,4.680000000000001
RecurrentPPO_Safe,4,2,-69.46099999999997,150,0,0,4,1.659666666666667,0.38,25.679999999999993
RecurrentPPO_Safe,4,3,-34.189,21,1,0,4,1.1095238095238096,0.23809523809523808,2.880000000000001
RecurrentPPO_Safe,4,4,-41.257,39,1,0,4,1.394871794871795,0.24358974358974358,5.370000000000001
RecurrentPPO_Safe,4,5,2.3830000000000005,150,0,0,3,0.1585,0.0,6.85
RecurrentPPO_Safe,4,6,0.9449999999999978,150,0,0,2,0.22666666666666666,0.0,7.180000000000001
RecurrentPPO_Safe,4,7,2.4779999999999998,150,0,0,2,0.14766666666666667,0.0,6.92
RecurrentPPO_Safe,4,8,-73.75000000000004,150,0,0,4,1.3724999999999996,0.45,28.199999999999992
RecurrentPPO_Safe,4,9,-40.936,60,1,0,4,1.0408333333333333,0.2,7.680000000000001
RecurrentPPO_Safe,4,10,-76.54,66,1,0,4,2.704545454545454,0.3333333333333333,10.559999999999999
RecurrentPPO_Safe,4,11,-114.19999999999999,66,1,0,4,2.024621212121212,0.4393939393939394,12.239999999999998
RecurrentPPO_Safe,4,12,-41.611000000000004,45,1,0,4,1.3044444444444443,0.14444444444444443,5.160000000000001
RecurrentPPO_Safe,4,13,-94.42799999999997,122,1,0,4,2.4834016393442626,0.4262295081967213,22.240000000000002
RecurrentPPO_Safe,4,14,-49.781000000000006,52,1,0,4,1.3716346153846155,0.3942307692307692,9.019999999999996
RecurrentPPO_Safe,4,15,2.7379999999999995,4,0,1,1,0.0375,0.0,0.32
RecurrentPPO_Safe,4,16,-48.821,34,1,0,4,1.899264705882353,0.27941176470588236,5.000000000000001
RecurrentPPO_Safe,4,17,0.2510000000000009,150,0,0,3,0.2353333333333333,0.0,9.270000000000003
RecurrentPPO_Safe,4,18,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
RecurrentPPO_Safe,4,19,-44.506,60,1,0,4,1.2950000000000004,0.18333333333333332,7.440000000000001
RecurrentPPO_Safe,4,20,-32.158,22,1,0,4,1.3056818181818182,0.18181818181818182,2.7200000000000006
RecurrentPPO_Safe,4,21,-44.919,37,1,0,4,1.3898648648648648,0.25675675675675674,5.240000000000001
RecurrentPPO_Safe,4,22,-59.925,76,1,0,4,1.3996710526315788,0.25,10.639999999999997
RecurrentPPO_Safe,4,23,-160.73899999999995,150,0,0,4,2.271166666666667,0.37666666666666665,25.559999999999995
RecurrentPPO_Safe,4,24,0.654,150,0,0,2,0.21383333333333335,0.0,8.980000000000002
RecurrentPPO_Safe,4,25,-39.163,48,1,0,4,1.405729166666667,0.20833333333333334,6.24
RecurrentPPO_Safe,4,26,-32.391999999999996,31,1,0,4,1.2508064516129034,0.11290322580645161,3.290000000000001
RecurrentPPO_Safe,4,27,-30.275,46,1,0,4,0.9157608695652174,0.08695652173913043,4.6400000000000015
RecurrentPPO_Safe,4,28,-55.206,49,1,0,4,1.9632653061224488,0.24489795918367346,6.800000000000001
RecurrentPPO_Safe,4,29,-84.11699999999999,126,1,0,4,1.5160714285714283,0.3492063492063492,20.639999999999993
RecurrentPPO_Safe,4,30,2.4070000000000005,150,0,0,2,0.159,0.0,6.789999999999998
RecurrentPPO_Safe,4,31,-50.962,69,1,0,4,1.0257246376811595,0.2898550724637681,9.899999999999997
RecurrentPPO_Safe,4,32,1.506000000000001,150,0,0,2,0.21866666666666665,0.0,7.02
RecurrentPPO_Safe,4,33,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
RecurrentPPO_Safe,4,34,3.082000000000001,150,0,0,2,0.1015,0.0,6.679999999999999
RecurrentPPO_Safe,4,35,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
RecurrentPPO_Safe,4,36,-31.906,41,1,0,4,0.9896341463414635,0.10975609756097561,4.36
RecurrentPPO_Safe,4,37,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
RecurrentPPO_Safe,4,38,-60.608000000000004,84,1,0,4,1.1470238095238094,0.27380952380952384,12.239999999999997
RecurrentPPO_Safe,4,39,-49.262,55,1,0,4,1.3686363636363634,0.33636363636363636,8.839999999999996
RecurrentPPO_Safe,4,40,-60.690000000000005,72,1,0,4,1.3975694444444444,0.3333333333333333,11.489999999999998
RecurrentPPO_Safe,4,41,-57.51100000000001,52,1,0,4,1.3524038461538461,0.375,8.839999999999996
RecurrentPPO_Safe,4,42,-31.874,30,1,0,4,0.9475,0.16666666666666666,3.600000000000001
RecurrentPPO_Safe,4,43,-118.29300000000008,150,0,0,4,1.2589999999999995,0.3566666666666667,24.839999999999996
RecurrentPPO_Safe,4,44,-45.106,59,1,0,4,1.3868644067796607,0.2542372881355932,8.26
RecurrentPPO_Safe,4,45,-63.792,82,1,0,4,1.1771341463414635,0.2682926829268293,11.839999999999998
RecurrentPPO_Safe,4,46,-83.771,90,1,0,4,1.841111111111111,0.3,13.589999999999996
RecurrentPPO_Safe,4,47,-205.1610000000001,150,0,0,4,3.2846666666666673,0.44333333333333336,27.929999999999993
RecurrentPPO_Safe,4,48,-154.02100000000019,150,0,0,4,1.7305000000000006,0.4,26.339999999999993
RecurrentPPO_Safe,4,49,-42.745999999999995,54,1,0,4,1.286111111111111,0.2222222222222222,7.200000000000001
RecurrentPPO_Safe,4,50,3.185000000000002,150,0,0,2,0.10500000000000001,0.0,6.529999999999999
RecurrentPPO_Safe,4,51,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
RecurrentPPO_Safe,4,52,-49.287000000000006,55,1,0,4,1.4231818181818185,0.2545454545454545,7.760000000000002
RecurrentPPO_Safe,4,53,1.120999999999998,150,0,0,2,0.24449999999999997,0.0,7.31
RecurrentPPO_Safe,4,54,2.7379999999999995,4,0,1,1,0.0375,0.0,0.32
RecurrentPPO_Safe,4,55,2.2140000000000004,101,0,1,2,0.26683168316831685,0.0,6.6400000000000015
RecurrentPPO_Safe,4,56,-28.47,16,1,0,4,1.3203125,0.15625,1.8800000000000001
RecurrentPPO_Safe,4,57,-34.853,35,1,0,4,0.9992857142857143,0.14285714285714285,4.000000000000001
RecurrentPPO_Safe,4,58,-38.385999999999996,49,1,0,4,0.8561224489795919,0.16326530612244897,5.84
RecurrentPPO_Safe,4,59,-62.410000000000004,36,1,0,4,1.6979166666666665,0.3194444444444444,5.6400000000000015
RecurrentPPO_Safe,4,60,-48.56700000000001,68,1,0,4,0.9360294117647059,0.22058823529411764,9.039999999999997
RecurrentPPO_Safe,4,61,-48.69900000000001,88,1,0,4,0.41534090909090904,0.09659090909090909,7.17
RecurrentPPO_Safe,4,62,-33.214,37,1,0,4,0.9405405405405407,0.17567567567567569,4.490000000000001
RecurrentPPO_Safe,4,63,-46.031,34,1,0,4,1.3698529411764704,0.3235294117647059,5.360000000000001
RecurrentPPO_Safe,4,64,-34.698,31,1,0,4,1.1403225806451613,0.1774193548387097,3.7700000000000014
RecurrentPPO_Safe,4,65,2.7379999999999995,4,0,1,1,0.0375,0.0,0.32
RecurrentPPO_Safe,4,66,3.8339999999999996,149,0,1,2,0.19848993288590605,0.0,7.920000000000001
RecurrentPPO_Safe,4,67,0.26400000000000123,150,0,0,2,0.25133333333333335,0.0,8.3
RecurrentPPO_Safe,4,68,-81.12200000000001,124,1,0,4,1.2411290322580648,0.31451612903225806,19.129999999999995
RecurrentPPO_Safe,4,69,-44.184999999999995,39,1,0,4,1.2019230769230766,0.358974358974359,6.480000000000001
RecurrentPPO_Safe,4,70,-35.708999999999996,22,1,0,4,1.4397727272727274,0.2727272727272727,3.200000000000001
RecurrentPPO_Safe,4,71,-53.00999999999999,55,1,0,4,2.027272727272727,0.2818181818181818,8.120000000000001
RecurrentPPO_Safe,4,72,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
RecurrentPPO_Safe,4,73,2.7399999999999998,3,0,1,0,0.0,0.0,0.24
RecurrentPPO_Safe,4,74,2.008000000000002,122,0,1,3,0.3045081967213114,0.0,7.66
RecurrentPPO_Safe,4,75,-78.594,85,1,0,4,1.699117647058823,0.27647058823529413,12.439999999999996
RecurrentPPO_Safe,4,76,-61.24600000000001,69,1,0,4,1.9467391304347825,0.2536231884057971,9.719999999999995
RecurrentPPO_Safe,4,77,-38.827,26,1,0,4,1.7653846153846153,0.15384615384615385,3.04
RecurrentPPO_Safe,4,78,-82.38700000000001,150,0,0,4,2.1443333333333334,0.37333333333333335,25.439999999999994
RecurrentPPO_Safe,4,79,-29.506,37,1,0,4,0.8398648648648649,0.12162162162162163,4.040000000000001
RecurrentPPO_Safe,4,80,-72.38100000000001,150,0,0,4,2.0296666666666665,0.37333333333333335,25.439999999999994
RecurrentPPO_Safe,4,81,-45.891,36,1,0,4,1.9986111111111111,0.3194444444444444,5.6400000000000015
RecurrentPPO_Safe,4,82,0.9099999999999998,150,0,0,2,0.23583333333333334,0.0,7.9399999999999995
RecurrentPPO_Safe,4,83,2.7379999999999995,4,0,1,1,0.0375,0.0,0.32
RecurrentPPO_Safe,4,84,-31.249,35,1,0,4,1.047857142857143,0.1,3.6400000000000006
